,Station ID,EQ Datetime,EQ Id,EQ Longitude,EQ Latitude,EQ Depth,EQ Distance,EQ Magnitude,EQ Es
587,809,2014-01-12 20:24:46.630000,2348705,-122.8028,38.7969,0.1095,74.500161,4.06,7.145685
588,809,2014-04-04 04:04:54.969800,2135077,-122.254,38.449333,7.831,38.440214,3.63,7.057769
589,810,2013-10-15 08:07:26.500000,2553823,-122.2305,37.882667,6.915,11.23348,3.15,7.28443
590,810,2013-10-15 08:07:26.609800,2553825,-122.2474,37.8822,13.69,10.337171,3.2,7.131249
591,810,2013-10-15 08:07:26.609800,2553824,-122.2474,37.8822,13.7,10.337171,3.2,7.130845
592,810,2013-10-07 04:26:08.259900,2571194,-122.232667,37.883667,6.544,11.023536,2.99,7.069251
593,854,2014-01-12 20:24:46.630000,2348704,-122.8028,38.7969,0.1,59.381513,4.8,8.452696
594,854,2014-01-12 20:24:46.740000,2348706,-122.816167,38.8135,1.9,61.508461,4.53,8.016716
595,854,2013-11-17 11:26:07.150000,2476454,-122.605333,38.289167,4.437,2.436051,2.68,7.411399
596,854,2014-01-12 20:24:46.630000,2348705,-122.8028,38.7969,0.1095,59.381513,4.06,7.342696
597,854,2014-04-04 04:04:54.969800,2135077,-122.254,38.449333,7.831,33.167808,3.63,7.180008
598,854,2013-12-06 06:44:55.029900,2432653,-122.3897,38.6762,10.3,45.677768,3.7,7.009051
599,854,2013-12-06 06:44:55.029900,2432655,-122.3897,38.6762,10.3,45.677768,3.7,7.009051
600,870,2014-01-12 20:24:46.630000,2348704,-122.8028,38.7969,0.1,96.104167,4.8,8.034515
601,870,2014-01-12 20:24:46.740000,2348706,-122.816167,38.8135,1.9,98.267484,4.53,7.610018
602,870,2014-04-04 04:04:54.969800,2135077,-122.254,38.449333,7.831,38.291075,3.63,7.06101
603,871,2014-01-12 20:24:46.630000,2348704,-122.8028,38.7969,0.1,69.172003,4.8,8.320138
604,871,2014-04-04 04:04:54.969800,2135077,-122.254,38.449333,7.831,11.656395,3.63,7.950102
605,871,2014-01-12 20:24:46.740000,2348706,-122.816167,38.8135,1.9,71.309349,4.53,7.888399
606,871,2014-01-12 20:24:46.630000,2348705,-122.8028,38.7969,0.1095,69.172003,4.06,7.210138
607,871,2013-12-06 06:44:55.029900,2432653,-122.3897,38.6762,10.3,38.655259,3.7,7.145793
608,871,2013-12-06 06:44:55.029900,2432655,-122.3897,38.6762,10.3,38.655259,3.7,7.145793
609,871,2013-12-06 06:44:55.029900,2432654,-122.389667,38.676167,9.628,38.650859,3.65,7.074536
610,965,2015-01-07 04:48:33.599900,1428828,121.7,24.26,22.0,93.561052,5.1,8.484438
611,965,2014-07-07 11:43:53.019900,1884943,120.969,23.81,12.9,4.094615,3.9,8.387132
